carYear,price,hasAccidents,fuelType,mileage
2014,13981,FALSE,2,85000
2013,14995,TRUE,2,75256
2013,16990,TRUE,2,85941
2014,19599,TRUE,2,43085
2014,16999,FALSE,2,45831
2014,16433,FALSE,2,43355
2013,11899,FALSE,2,86477
2014,16175,FALSE,2,57243
2013,17908,TRUE,2,32932
2013,19988,FALSE,2,101648
2013,11877,FALSE,2,91763
2014,18990,TRUE,2,42870
2013,19490,FALSE,2,49506
2013,16990,FALSE,2,40746
2013,12799,TRUE,2,67487
2013,13995,TRUE,2,48861
2014,16900,FALSE,2,59503
2014,15291,FALSE,2,63662
2013,13900,TRUE,2,49566
2013,12900,FALSE,2,49686
2013,12800,FALSE,2,51782
2013,13400,FALSE,2,52721
2013,12500,FALSE,2,54648
2013,13500,TRUE,2,55144
2013,13500,FALSE,2,57897
2013,12900,FALSE,2,58610
2013,12500,TRUE,2,59357
2013,12900,TRUE,2,59365
2013,12500,FALSE,2,59777
2014,13900,TRUE,2,64854
2014,13900,FALSE,0,72934
2013,13500,TRUE,2,42983
2014,27785,FALSE,2,25520
2013,13000,FALSE,2,96921
2013,16975,FALSE,2,52358
2014,19995,FALSE,2,10429
2013,12495,FALSE,2,101346
2014,18199,TRUE,2,36630
2014,24499,TRUE,2,18679
2014,18900,FALSE,2,49952
2013,11200,FALSE,2,89990
2014,16999,FALSE,2,46559
2013,15999,TRUE,2,51986
2013,15999,FALSE,2,38178
2014,11995,TRUE,2,93639
2013,15500,FALSE,2,55613
2013,18995,TRUE,2,42515
2013,13990,FALSE,2,67931
2013,14000,FALSE,2,86814
2013,15900,TRUE,2,36188
2014,15543,TRUE,2,38765
2014,17249,FALSE,2,48997
2013,12250,TRUE,2,101000
2013,12900,TRUE,2,50990
2013,20599,FALSE,2,41204
2014,14988,FALSE,2,51366
2013,17000,FALSE,2,25479
2013,16999,TRUE,2,28376
2014,13999,TRUE,2,39601
2014,13998,FALSE,2,59009
2014,16999,FALSE,2,27000
2013,13999,FALSE,2,51845
2013,12999,FALSE,2,73729
2013,12995,FALSE,2,108000
2013,14850,FALSE,2,62225
2013,13895,TRUE,2,41508
2013,13895,FALSE,2,53902
2013,12895,FALSE,2,76011
